concept,concept_subtype,mismatch_concept,mismatch_subtype,mismatch_mode
payphone,Noun,fly,"animal, insect",cross_subtype
pea,"food, vegetable",pumpkin,"food, vegetable",within_subtype
peach,"food, fruit",flypaper,Noun,cross_subtype
peacock,"animal, bird",vulture,"animal, bird",within_subtype
peanut,food,flyswatter,tool,cross_subtype
peanut_butter,food,roll,food,within_subtype
pear,"food, fruit",foam,Noun,cross_subtype
pearl,decoration,pom-pom,decoration,within_subtype
pecan,food,folder,office supply,cross_subtype
pedal,part of car,rim,part of car,within_subtype
pedometer,Noun,fondue,food,cross_subtype
peeler,"kitchen tool, tool",scoop,"kitchen tool, tool",within_subtype
peg,Name,food_processor,"electronic device, kitchen appliance",cross_subtype
pelican,"animal, bird",hawk,"animal, bird",within_subtype
pen,"office supply, tool",foot,body part,cross_subtype
pencil,"office supply, tool",fountain_pen,"office supply, tool",within_subtype
pencil_sharpener,"office supply, tool",football,sports equipment,cross_subtype
pendulum,Noun,cream,Noun,within_subtype
penguin,"animal, bird",football_helmet,sports equipment,cross_subtype
penholder,office supply,binder,office supply,within_subtype
penlight,"medical equipment, tool",footbath,container,cross_subtype
pennant,Noun,wing,Noun,within_subtype
pepper1,food,footprint,Noun,cross_subtype
pepper2,"food, vegetable",rhubarb,"food, vegetable",within_subtype
pepper_mill,kitchen tool,footrest,furniture,cross_subtype
peppermint,food,ravioli,food,within_subtype
pepperoni,food,fork,tool,cross_subtype
perfume,Noun,dumbwaiter,Noun,within_subtype
periscope,Noun,forklift,vehicle,cross_subtype
pesto,food,scone,food,within_subtype
pet_food,food,fossil,Noun,cross_subtype
petal,Noun,block,Noun,within_subtype
petri_dish,container,fountain_pen,"office supply, tool",cross_subtype
pheasant,"animal, bird",peacock,"animal, bird",within_subtype
phone,Noun,fox,animal,cross_subtype
phone_booth,#N/A,videogame,#N/A,within_subtype
photo_booth,#N/A,frame,home decor,cross_subtype
photograph,Noun,compass,Noun,within_subtype
piano,musical instrument,freezer,"electronic device, kitchen appliance",cross_subtype
pickax,"weapon, tool",pitchfork,"weapon, tool",within_subtype
pickle,food,french_horn,musical instrument,cross_subtype
pie,"food, dessert",ice_cube,"food, dessert",within_subtype
piecrust,food,frisbee,"toy, sports equipment",cross_subtype
pig,"animal, food",lamb,"animal, food",within_subtype
pigeon,"animal, bird",frog,animal,cross_subtype
piggy_bank,container,pocket,container,within_subtype
piglet,animal,fruit,"food, fruit",cross_subtype
pill,Noun,bolt,Noun,within_subtype
pillbox,"medical equipment, container",fruitcake,"food, dessert",cross_subtype
pillow,home decor,doily,home decor,within_subtype
pin,tool,fudge,"food, dessert",cross_subtype
pinball,electronic device,record_player,electronic device,within_subtype
pincushion,Noun,funnel,"kitchen tool, tool",cross_subtype
pine_needle,#N/A,bubble_wrap,#N/A,within_subtype
pine_tree,plant,fur_coat,clothing,cross_subtype
pineapple,"food, fruit",banana,"food, fruit",within_subtype
pinecone,home decor,furnace,Noun,cross_subtype
ping-pong_table,sports equipment,trampoline,sports equipment,within_subtype
pinwheel,"home decor, toy",fuse,Noun,cross_subtype
pipe1,Noun,lens,Noun,within_subtype
pipe2,Noun,garbage,container,cross_subtype
pistachio,food,taco,food,within_subtype
pita,food,garbage_truck,vehicle,cross_subtype
pitcher,container,hatbox,container,within_subtype
pitchfork,"weapon, tool",gargoyle,decoration,cross_subtype
pizza,food,pistachio,food,within_subtype
place_mat,home decor,garlic,"food, vegetable",cross_subtype
plant,plant,marijuana,plant,within_subtype
plaster_cast,medical equipment,garter,clothing,cross_subtype
plastic_film,#N/A,ski_lift,#N/A,within_subtype
plate,Noun,gas_mask,#N/A,cross_subtype
platypus,animal,orangutan,animal,within_subtype
playing_card,#N/A,gasket,part of car,cross_subtype
playpen,Noun,straw2,Noun,within_subtype
pliers,tool,gate,Noun,cross_subtype
plug,Noun,fire,Noun,within_subtype
plum,"food, fruit",gauge,Noun,cross_subtype
plunger,tool,duster,tool,within_subtype
pocket,container,gauze,medical equipment,cross_subtype
pocket_watch,#N/A,dishwashing_liquid,#N/A,within_subtype
pocketknife,"weapon, tool",gavel,tool,cross_subtype
pogo_stick,toy,puppet,toy,within_subtype
poinsettia,plant,gazelle,animal,cross_subtype
poker,tool,razor,tool,within_subtype
polar_bear,animal,gear,Noun,cross_subtype
polaroid,#N/A,water_cooler,#N/A,within_subtype
pole,Noun,gearshift,part of car,cross_subtype
police_car,vehicle,van,vehicle,within_subtype
polisher,tool,gel,Noun,cross_subtype
polo_shirt,clothing,shower_cap,clothing,within_subtype
polygraph,electronic device,gem,Noun,cross_subtype
pom-pom,decoration,crucifix,decoration,within_subtype
pomegranate,"food, fruit",generator,electronic device,cross_subtype
pony,animal,orangutan,animal,within_subtype
poodle,animal,gift,Noun,cross_subtype
pool_table,furniture,rocking_chair,furniture,within_subtype
popcorn,food,giraffe,animal,cross_subtype
poppy,"plant, food",seaweed,"plant, food",within_subtype
popsicle,"food, dessert",girl,Noun,cross_subtype
porcupine,animal,kangaroo,animal,within_subtype
porthole,Noun,glass,container,cross_subtype
possum,animal,skunk,animal,within_subtype
poster,home decor,glasses,clothing accessory,cross_subtype
pot,container,suitcase,container,within_subtype
potato,"food, vegetable",globe,home decor,cross_subtype
potholder,#N/A,sewing_kit,#N/A,within_subtype
pothole,Noun,glove,"clothing, clothing accessory",cross_subtype
potpie,food,guacamole,food,within_subtype
potpourri,home decor,glue,office supply,cross_subtype
powder,Noun,shutter,Noun,within_subtype
power_line,#N/A,go-kart,vehicle,cross_subtype
praying_mantis,"animal, insect",caterpillar,"animal, insect",within_subtype
pretzel,food,goalpost,sports equipment,cross_subtype
printer,electronic device,remote_control,electronic device,within_subtype
prism,Name,goat,"animal, food",cross_subtype
projector,electronic device,electric_chair,electronic device,within_subtype
propeller,Noun,goblet,container,cross_subtype
prune,"food, fruit",banana,"food, fruit",within_subtype
puck,sports equipment,gold,Noun,cross_subtype
pudding,"food, dessert",cookie,"food, dessert",within_subtype
puddle,Noun,goldfish,animal,cross_subtype
puffin,"animal, bird",parrot,"animal, bird",within_subtype
pug,animal,golf_cart,vehicle,cross_subtype
pulley,tool,file1,tool,within_subtype
pulpit,Noun,golf_club,sports equipment,cross_subtype
pump,Noun,satellite,Noun,within_subtype
pumpkin,"food, vegetable",gondola,vehicle,cross_subtype
punch1,drink,soda,drink,within_subtype
punch2,"office supply, tool",gong,musical instrument,cross_subtype
punching_bag,sports equipment,football,sports equipment,within_subtype
puppet,toy,goose,"animal, bird, food",cross_subtype
puppy,animal,chihuahua,animal,within_subtype
purse,"container, clothing accessory",gopher,animal,cross_subtype
quad,vehicle,blimp,vehicle,within_subtype
quesadilla,food,gorilla,"animal, food",cross_subtype
quiche,food,sandwich,food,within_subtype
quill,tool,gourd,"home decor, vegetable",cross_subtype
quilt,Noun,cocoon,Noun,within_subtype
rabbit,"animal, food",graffiti,decoration,cross_subtype
raccoon,animal,bull,animal,within_subtype
racehorse,animal,grain,food,cross_subtype
rack1,furniture,bunkbed,furniture,within_subtype
rack2,furniture,gramophone,Noun,cross_subtype
racket,sports equipment,rollerskate,sports equipment,within_subtype
radar,Noun,granola,food,cross_subtype
radiator,Noun,film,Noun,within_subtype
radio,electronic device,grape,"food, fruit",cross_subtype
radish,"food, vegetable",cauliflower,"food, vegetable",within_subtype
raft,vehicle,grapefruit,"food, fruit",cross_subtype
rag,Noun,shield,Noun,within_subtype
railing,Noun,grapevine,plant,cross_subtype
rain_gauge,#N/A,hard_disk,#N/A,within_subtype
raincoat,clothing,grass,plant,cross_subtype
raisin,"food, fruit",blackberry,"food, fruit",within_subtype
rake,tool,grasshopper,"animal, insect",cross_subtype
ram,animal,alligator,animal,within_subtype
ramp,Noun,grater,"kitchen tool, tool",cross_subtype
raspberry,"food, fruit",grape,"food, fruit",within_subtype
rat,animal,gravel,Noun,cross_subtype
ratchet,tool,backscratcher,tool,within_subtype
rattle,toy,gravestone,Noun,cross_subtype
rattlesnake,animal,tadpole,animal,within_subtype
ravioli,food,green_beans,"food, vegetable",cross_subtype
razor,tool,letter_opener,tool,within_subtype
razor_blade,weapon,grill,Noun,cross_subtype
ready_meal,food,peppermint,food,within_subtype
rearview_mirror,part of car,grinder,"kitchen tool, tool",cross_subtype
recliner,furniture,sofa_bed,furniture,within_subtype
record,Noun,grits,food,cross_subtype
record_player,electronic device,copier,electronic device,within_subtype
recorder,musical instrument,groundhog,animal,cross_subtype
red_carpet,#N/A,barbed_wire,#N/A,within_subtype
reel,Noun,guacamole,food,cross_subtype
refrigerator,"electronic device, kitchen appliance",toaster_oven,"electronic device, kitchen appliance",within_subtype
reindeer,animal,guardrail,Noun,cross_subtype
remote_control,electronic device,washing_machine,electronic device,within_subtype
retainer,Noun,guinea_pig,animal,cross_subtype
revolver,weapon,razor_blade,weapon,within_subtype
revolving_door,#N/A,guitar,musical instrument,cross_subtype
rhinoceros,animal,stingray,animal,within_subtype
rhubarb,"food, vegetable",gum,food,cross_subtype
ribbon,Noun,showerhead,Noun,within_subtype
rice,food,gun,weapon,cross_subtype
rickshaw,vehicle,firetruck,vehicle,within_subtype
rifle,weapon,gurney,medical equipment,cross_subtype
rim,part of car,headlight,part of car,within_subtype
ring,decoration,gutter,Noun,cross_subtype
riser,Noun,trap,Noun,within_subtype
road_sign,#N/A,gyro,food,cross_subtype
roadsweeper,vehicle,minivan,vehicle,within_subtype
robe,clothing,gyroscope,toy,cross_subtype
robot,toy,pogo_stick,toy,within_subtype
rock,Noun,hail,Verb,cross_subtype
rocket,vehicle,car,vehicle,within_subtype
rocking_chair,furniture,hair,body part,cross_subtype
rocking_horse,toy,rattle,toy,within_subtype
roll,food,hairbrush,Noun,cross_subtype
roller,Noun,lifesaver,Noun,within_subtype
roller_coaster,#N/A,hairdryer,electronic device,cross_subtype
rollerblade,sports equipment,snorkel,sports equipment,within_subtype
rollerskate,sports equipment,hairnet,Noun,cross_subtype
rolling_pin,"kitchen tool, tool",tongs,"kitchen tool, tool",within_subtype
roof_rack,part of car,hairpin,Noun,cross_subtype
rooster,"animal, bird",pigeon,"animal, bird",within_subtype
root,Noun,ham,food,cross_subtype
rope,tool,magnifying_glass,tool,within_subtype
rosary,Noun,hamburger,food,cross_subtype
rose,plant,lavender,plant,within_subtype
roulette_wheel,#N/A,hammer,"weapon, tool",cross_subtype
router,electronic device,cd_player,electronic device,within_subtype
rubber_band,office supply,hammock,furniture,cross_subtype
ruby,decoration,jewelry,decoration,within_subtype
rudder,Noun,hamster,animal,cross_subtype
rug,home decor,figurine,home decor,within_subtype
ruler,tool,hand,body part,cross_subtype
rust,Noun,blanket,Noun,within_subtype
saddle,sports equipment,handbrake,part of car,cross_subtype
safety_pin,#N/A,duct_tape,#N/A,within_subtype
saffron,food,handcuff,Verb,cross_subtype
sail,Verb,spout,Verb,within_subtype
sailboat,vehicle,handkerchief,clothing accessory,cross_subtype
salad,food,ham,food,within_subtype
salami,food,handle,Verb,cross_subtype
saltshaker,container,petri_dish,container,within_subtype
sand,Noun,hard_disk,#N/A,cross_subtype
sandal,clothing,coat,clothing,within_subtype
sandbag,container,harmonica,musical instrument,cross_subtype
sandbox,toy,swing,toy,within_subtype
sandcastle,Noun,harp,musical instrument,cross_subtype
sandpaper,tool,marker,tool,within_subtype
sandwich,food,hat,"clothing, clothing accessory",cross_subtype
sarcophagus,container,swimming_pool,container,within_subtype
sardine,"animal, food",hatbox,container,cross_subtype
satellite,Noun,chessboard,Noun,within_subtype
satellite_dish,#N/A,hatchet,tool,cross_subtype
sauce,food,macaroni,food,within_subtype
saucer,Noun,hawk,"animal, bird",cross_subtype
sauerkraut,food,mustard,food,within_subtype
sausage,food,headband,"clothing, clothing accessory",cross_subtype
saw,tool,nail_file,tool,within_subtype
sawhorse,tool,headdress,"clothing, clothing accessory",cross_subtype
saxophone,musical instrument,clarinet,musical instrument,within_subtype
scaffold,Noun,headlamp,#N/A,cross_subtype
scaffolding,Noun,girl,Noun,within_subtype
scale,Noun,headlight,part of car,cross_subtype
scallion,"food, vegetable",zucchini,"food, vegetable",within_subtype
scallop,"animal, food",headphones,Noun,cross_subtype
scalpel,"medical equipment, weapon, tool",headrest,part of car,within_subtype
scanner,electronic device,headscarf,clothing,cross_subtype
scarecrow,home decor,birdhouse,home decor,within_subtype
scarf,"clothing, clothing accessory",headset,Noun,cross_subtype
school_bus,vehicle,subway,vehicle,within_subtype
scissors,"office supply, weapon, tool",hearing_aid,medical equipment,cross_subtype
scone,food,salad,food,within_subtype
scoop,"kitchen tool, tool",hearse,vehicle,cross_subtype
scooter,"toy, vehicle",heater,Noun,within_subtype
scoreboard,sports equipment,hedge,plant,cross_subtype
scorpion,animal,cow,animal,within_subtype
scrabble,Noun,hedgehog,animal,cross_subtype
scrambled_egg,food,jam,food,within_subtype
scraper,tool,helicopter,vehicle,cross_subtype
screen1,electronic device,stereo,electronic device,within_subtype
screen2,Noun,helmet,sports equipment,cross_subtype
screw,tool,wrench,tool,within_subtype
screwdriver,tool,highchair,furniture,cross_subtype
scuba,sports equipment,baseball,sports equipment,within_subtype
sea_urchin,animal,highlighter,office supply,cross_subtype
seafood,food,ready_meal,food,within_subtype
seagull,"animal, bird",hinge,Noun,cross_subtype
seahorse,animal,dalmatian,animal,within_subtype
seal,animal,hip,body part,cross_subtype
seaplane,vehicle,subway,vehicle,within_subtype
seatbelt,part of car,hippopotamus,animal,cross_subtype
seaweed,"plant, food",poppy,"plant, food",within_subtype
seed,fruit,hobbyhorse,toy,cross_subtype
seesaw,toy,hobbyhorse,toy,within_subtype
seismograph,Noun,hockey_stick,sports equipment,cross_subtype
sequin,decoration,anklet,decoration,within_subtype
sewage,Noun,hoe,tool,cross_subtype
sewing_kit,#N/A,duct_tape,#N/A,within_subtype
sewing_machine,electronic device,hole,Noun,cross_subtype
shaker,container,chalice,container,within_subtype
shark,animal,holster,Noun,cross_subtype
shaving_cream,#N/A,paper_plate,#N/A,within_subtype
shawl,"clothing, clothing accessory",home_plate,sports equipment,cross_subtype
shears,tool,tuning_fork,tool,within_subtype
sheath,Noun,honey,food,cross_subtype
sheep,animal,polar_bear,animal,within_subtype
sheet,Noun,honeypot,container,cross_subtype
shelf,furniture,counter,furniture,within_subtype
shell1,Noun,hood,clothing,cross_subtype
shell2,Noun,viewfinder,Noun,within_subtype
shell3,Noun,hoodie,clothing,cross_subtype
shield,Noun,cork,Noun,within_subtype
ship,vehicle,hook1,Noun,cross_subtype
shirt,clothing,toga,clothing,within_subtype
shoe,clothing,hook2,tool,cross_subtype
shoe_polish,#N/A,comic_book,#N/A,within_subtype
shoehorn,tool,hookah,Noun,cross_subtype
shoelace,Noun,chinaware,Noun,within_subtype
shopping_basket,container,hopscotch,Noun,cross_subtype
shopping_cart,container,luggage,container,within_subtype
shortbread,"food, dessert",horn,musical instrument,cross_subtype
shorts,clothing,headscarf,clothing,within_subtype
shoulder,body part,horse,animal,cross_subtype
shovel,tool,crank,tool,within_subtype
shower,Noun,hose,tool,cross_subtype
shower_cap,clothing,overalls,clothing,within_subtype
shower_curtain,#N/A,hot-air_balloon,vehicle,cross_subtype
showerhead,Noun,earplug,Noun,within_subtype
shredder,electronic device,hot-water_bottle,container,cross_subtype
shrimp,"animal, food",scallop,"animal, food",within_subtype
shuffleboard,Noun,hot_chocolate,drink,cross_subtype
shutter,Noun,drain,Noun,within_subtype
sickle,tool,hot_tub,container,cross_subtype
sidecar,Noun,turbine,Noun,within_subtype
sifter,kitchen tool,hotdog,food,cross_subtype
silicone,Noun,cigarette,Noun,within_subtype
silverware,Noun,hotplate,"electronic device, kitchen appliance",cross_subtype
sim_card,#N/A,chess_piece,#N/A,within_subtype
sink,Noun,hourglass,home decor,cross_subtype
siren,Noun,valve,Noun,within_subtype
skateboard,"toy, vehicle, sports equipment",hovercraft,vehicle,cross_subtype
skeleton,body part,thumb,body part,within_subtype
skewer,kitchen tool,hubcap,part of car,cross_subtype
ski,sports equipment,scoreboard,sports equipment,within_subtype
ski_boots,"sports equipment, clothing",hula_hoop,toy,cross_subtype
ski_lift,#N/A,orange_rind,#N/A,within_subtype
ski_pole,sports equipment,hummingbird,"animal, bird",cross_subtype
skin,body part,stomach,body part,within_subtype
skirt,clothing,hummus,food,cross_subtype
skull,body part,chin,body part,within_subtype
skunk,animal,humvee,vehicle,cross_subtype
sled,"vehicle, sports equipment",hydrant,Noun,within_subtype
sledgehammer,tool,hyena,animal,cross_subtype
sleeping_bag,container,bathtub,container,within_subtype
slicer,"electronic device, kitchen appliance",ice,"food, dessert",cross_subtype
slide,toy,snowball,toy,within_subtype
slime,toy,ice-cream_cone,"food, dessert",cross_subtype
sling,medical equipment,first-aid_kit,medical equipment,within_subtype
slingshot,"weapon, toy",ice_cream,"food, dessert",cross_subtype
slipper,clothing,stiletto,clothing,within_subtype
slot,Noun,ice_cube,"food, dessert",cross_subtype
slot_machine,electronic device,pinball,electronic device,within_subtype
sloth,animal,ice_pack,medical equipment,cross_subtype
slug,animal,lizard,animal,within_subtype
smoke_alarm,electronic device,icemaker,"electronic device, kitchen appliance",cross_subtype
smoothie,drink,lemonade,drink,within_subtype
snack,food,icepick,"weapon, kitchen tool, tool",cross_subtype
snail,animal,panda,animal,within_subtype
snake,animal,iceskate,sports equipment,cross_subtype
snorkel,sports equipment,target,sports equipment,within_subtype
snow,Noun,iguana,animal,cross_subtype
snowball,toy,stilt,toy,within_subtype
snowboard,sports equipment,incense,Noun,cross_subtype
snowman,Noun,lipstick,Noun,within_subtype
snowmobile,vehicle,incubator,electronic device,cross_subtype
snowplow,vehicle,unicycle,vehicle,within_subtype
snowshoe,"sports equipment, clothing",inhaler,medical equipment,cross_subtype
snowsuit,clothing,crown,clothing,within_subtype
soap,Noun,ink,office supply,cross_subtype
soccer_ball,sports equipment,baseball_glove,sports equipment,within_subtype
sock,clothing,inkwell,container,cross_subtype
soda,drink,smoothie,drink,within_subtype
soda_fountain,#N/A,insole,clothing accessory,cross_subtype
sofa_bed,furniture,bench,furniture,within_subtype
solar_panel,#N/A,iron,electronic device,cross_subtype
soldering_iron,tool,screw,tool,within_subtype
sombrero,"clothing, clothing accessory",ironing_board,#N/A,cross_subtype
sonogram,Noun,thermostat,Noun,within_subtype
sorbet,"food, dessert",ivy,plant,cross_subtype
souffle,"food, dessert",cupcake,"food, dessert",within_subtype
soup,food,jack,tool,cross_subtype
soy_sauce,food,butter,food,within_subtype
space_shuttle,vehicle,jacket,clothing,cross_subtype
spacesuit,clothing,raincoat,clothing,within_subtype
spaghetti,food,jackhammer,"electronic device, tool",cross_subtype
spam,food,hamburger,food,within_subtype
spareribs,food,jalapeno,"food, vegetable",cross_subtype
spark_plug,part of car,car_seat,part of car,within_subtype
sparkler,Noun,jam,food,cross_subtype
spatula,"kitchen tool, tool",funnel,"kitchen tool, tool",within_subtype
speaker,Noun,jar,container,cross_subtype
spear,weapon,crossbow,weapon,within_subtype
speedboat,vehicle,javelin,sports equipment,cross_subtype
speedometer,part of car,rearview_mirror,part of car,within_subtype
spider,animal,jeans,clothing,cross_subtype
spider_web,#N/A,camera_lens,#N/A,within_subtype
spinach,"plant, food, vegetable",jeep,vehicle,cross_subtype
splinter,Noun,stair,Noun,within_subtype
sponge,Noun,jelly_bean,food,cross_subtype
spool,Noun,speaker,Noun,within_subtype
spoon,"kitchen tool, tool",jellyfish,animal,cross_subtype
spout,Verb,handle,Verb,within_subtype
spring_roll,food,jersey,clothing,cross_subtype
springboard,sports equipment,bobsled,sports equipment,within_subtype
sprinkler,Noun,jet,vehicle,cross_subtype
sprouts,"food, vegetable",onion,"food, vegetable",within_subtype
spur,Noun,jetski,vehicle,cross_subtype
squash,"food, vegetable",celery,"food, vegetable",within_subtype
squeegee,tool,jewel,decoration,cross_subtype
squid,"animal, food",swordfish,"animal, food",within_subtype
squirrel,animal,jewelry,decoration,cross_subtype
squirt_gun,toy,whoopee_cushion,toy,within_subtype
stained_glass,home decor,jigsaw_puzzle,#N/A,cross_subtype
stair,Noun,pill,Noun,within_subtype
stake,Noun,joystick,electronic device,cross_subtype
stalagmite,Noun,wax,Noun,within_subtype
stamp1,Noun,jug,container,cross_subtype
stamp2,tool,sweeper,tool,within_subtype
staple,office supply,juice,drink,cross_subtype
staple_gun,tool,anvil,tool,within_subtype
stapler,office supply,juicer1,kitchen tool,cross_subtype
star_fruit,"food, fruit",raisin,"food, fruit",within_subtype
starfish,animal,juicer2,"electronic device, kitchen appliance",cross_subtype
station_wagon,vehicle,chariot,vehicle,within_subtype
statue,home decor,jukebox,electronic device,cross_subtype
steak,food,marmalade,food,within_subtype
steamroller,vehicle,jump_rope,sports equipment,cross_subtype
steering_wheel,part of car,pedal,part of car,within_subtype
stem,Noun,jumpsuit,clothing,cross_subtype
step_stool,furniture,crib,furniture,within_subtype
stereo,electronic device,kale,"plant, food, vegetable",cross_subtype
stethoscope,medical equipment,gauze,medical equipment,within_subtype
stew,food,kaleidoscope,toy,cross_subtype
stick,Verb,nail,Verb,within_subtype
sticker,Noun,kangaroo,animal,cross_subtype
stiletto,clothing,dress,clothing,within_subtype
stilt,toy,kayak,vehicle,cross_subtype
stingray,animal,moose,animal,within_subtype
stir_fry,food,kazoo,musical instrument,cross_subtype
stirrup,Noun,twig,Noun,within_subtype
stockings,clothing,kebab,food,cross_subtype
stomach,body part,chin,body part,within_subtype
stool,furniture,keg,container,cross_subtype
stopwatch,sports equipment,goalpost,sports equipment,within_subtype
stove1,kitchen appliance,ketchup,food,cross_subtype
stove2,kitchen appliance,burner,kitchen appliance,within_subtype
straightjacket,clothing,kettle,"container, kitchen tool",cross_subtype
strainer,kitchen tool,timer,kitchen tool,within_subtype
strap,Noun,keyboard,musical instrument,cross_subtype
straw1,Noun,quilt,Noun,within_subtype
straw2,Noun,kilt,clothing,cross_subtype
strawberry,"food, fruit",lime,"food, fruit",within_subtype
streetlight,Noun,kimono,clothing,cross_subtype
stretcher,medical equipment,gauze,medical equipment,within_subtype
string_cheese,food,kite,toy,cross_subtype
stroller,vehicle,jeep,vehicle,within_subtype
stuffing,food,kitten,animal,cross_subtype
stump,Noun,towel,Noun,within_subtype
submarine,vehicle,kiwi,"food, fruit",cross_subtype
subway,vehicle,yacht,vehicle,within_subtype
sugar_cube,food,knee,body part,cross_subtype
suit,clothing,fishnet_stockings,clothing,within_subtype
suitcase,container,kneepad,sports equipment,cross_subtype
sundae,"food, dessert",whipped_cream,"food, dessert",within_subtype
sundial,Noun,knife,"weapon, kitchen tool, tool",cross_subtype
sunflower,plant,weed,plant,within_subtype
sunglasses,Noun,knitting_needle,#N/A,cross_subtype
sunroof,part of car,roof_rack,part of car,within_subtype
surfboard,sports equipment,knob,Noun,cross_subtype
sushi,food,nut,food,within_subtype
suspenders,"clothing, clothing accessory",knot,Noun,cross_subtype
swab,medical equipment,gurney,medical equipment,within_subtype
swan,"animal, bird",koala,animal,cross_subtype
sweater,clothing,jumpsuit,clothing,within_subtype
sweatsuit,clothing,ladder,tool,cross_subtype
sweeper,tool,tape_measure,tool,within_subtype
sweet_potato,"food, vegetable",ladle,"kitchen tool, tool",cross_subtype
swimming_pool,container,coffin,container,within_subtype
swimsuit,clothing,ladybug,"animal, insect",cross_subtype
swing,toy,slime,toy,within_subtype
swing_set,#N/A,lamb,"animal, food",cross_subtype
switch,Verb,dial,Verb,within_subtype
swizzle_stick,#N/A,lamb_chop,food,cross_subtype
sword,weapon,catapult,weapon,within_subtype
swordfish,"animal, food",lamp,"electronic device, home decor",cross_subtype
syringe,"medical equipment, container",bedpan,"medical equipment, container",within_subtype
syrup,food,lamppost,Noun,cross_subtype
t-shirt,clothing,polo_shirt,clothing,within_subtype
tab,Noun,lampshade,home decor,cross_subtype
table,furniture,footrest,furniture,within_subtype
tablecloth,Noun,landmine,weapon,cross_subtype
tablet,electronic device,scanner,electronic device,within_subtype
tack,office supply,lantern,Noun,cross_subtype
tackle,Verb,stick,Verb,within_subtype
taco,food,lanyard,clothing accessory,cross_subtype
tadpole,animal,calf1,animal,within_subtype
taffy,food,laptop,electronic device,cross_subtype
tag,Noun,yarn,Noun,within_subtype
taillight,part of car,lasagna,food,cross_subtype
tamale,food,chicken1,food,within_subtype
tambourine,musical instrument,laser_pointer,#N/A,cross_subtype
tank1,weapon,machete,weapon,within_subtype
tank2,container,latch,Noun,cross_subtype
tape,office supply,paperclip,office supply,within_subtype
tape_measure,tool,latte,drink,cross_subtype
tape_recorder,electronic device,slot_machine,electronic device,within_subtype
tapestry,home decor,laundry_basket,container,cross_subtype
tarantula,animal,boar,animal,within_subtype
target,sports equipment,lava,Noun,cross_subtype
tarp,Noun,stake,Noun,within_subtype
tattoo,decoration,lavender,plant,cross_subtype
taxi,vehicle,gondola,vehicle,within_subtype
tea,drink,lawnmower,tool,cross_subtype
teabag,container,canister,container,within_subtype
teacup,container,leaf,Noun,cross_subtype
teapot,container,sandbag,container,within_subtype
teddy_bear,toy,leash,Noun,cross_subtype
tee,sports equipment,bowling_ball,sports equipment,within_subtype
teepee,Noun,lectern,furniture,cross_subtype
telegraph,Noun,hole,Noun,within_subtype
telephone_pole,#N/A,leech,animal,cross_subtype
telescope,Noun,riser,Noun,within_subtype
television,electronic device,leek,"plant, food, vegetable",cross_subtype
tennis_ball,sports equipment,boxing_gloves,sports equipment,within_subtype
tent,container,leg,body part,cross_subtype
terrarium,"home decor, container",birdbath,"home decor, container",within_subtype
test_tube,container,leggings,clothing,cross_subtype
thermometer,Noun,screen2,Noun,within_subtype
thermos,container,lego,toy,cross_subtype
thermostat,Noun,doormat,Noun,within_subtype
thimble,container,lemon,"food, fruit",cross_subtype
thorn,body part,foot,body part,within_subtype
thread,Noun,lemonade,drink,cross_subtype
throne,furniture,rack2,furniture,within_subtype
thumb,body part,lens,Noun,cross_subtype
thumbtack,office supply,stapler,office supply,within_subtype
tiara,clothing,leopard,animal,cross_subtype
tick,animal,donkey,animal,within_subtype
ticktacktoe,#N/A,leotard,clothing,cross_subtype
tie,"clothing, clothing accessory",bolo_tie,"clothing, clothing accessory",within_subtype
tiger,animal,letter_opener,tool,cross_subtype
tile,Noun,ramp,Noun,within_subtype
timer,kitchen tool,lettuce,"plant, food, vegetable",cross_subtype
tinsel,Noun,origami,Noun,within_subtype
tiramisu,"food, dessert",license_plate,part of car,cross_subtype
toad,animal,panther,animal,within_subtype
toast,food,lid,Noun,cross_subtype
toaster,"electronic device, kitchen appliance",juicer2,"electronic device, kitchen appliance",within_subtype
toaster_oven,"electronic device, kitchen appliance",life_jacket,clothing,cross_subtype
toe,body part,thorn,body part,within_subtype
toga,clothing,lifesaver,Noun,cross_subtype
toilet,Noun,leash,Noun,within_subtype
toilet_paper,#N/A,lightbulb,Noun,cross_subtype
tomato,"food, vegetable, fruit",lighter,tool,within_subtype
tomato_sauce,food,lightning_bug,"animal, insect",cross_subtype
tongs,"kitchen tool, tool",funnel,"kitchen tool, tool",within_subtype
tongue,body part,lime,"food, fruit",cross_subtype
tool,tool,needle,tool,within_subtype
toolbox,container,limousine,vehicle,cross_subtype
tooth,body part,knee,body part,within_subtype
toothbrush,Noun,lingerie,clothing,cross_subtype
toothpaste,Noun,strap,Noun,within_subtype
toothpick,tool,lion,animal,cross_subtype
top_hat,"clothing, clothing accessory",tie,"clothing, clothing accessory",within_subtype
torch,Noun,lip_balm,#N/A,cross_subtype
torpedo,weapon,missile,weapon,within_subtype
torso,body part,lip_gloss,#N/A,cross_subtype
tortellini,food,pet_food,food,within_subtype
tortilla,food,lipstick,Noun,cross_subtype
tostada,food,wafer,food,within_subtype
totem_pole,decoration,lizard,animal,cross_subtype
toucan,"animal, bird",pheasant,"animal, bird",within_subtype
touchpad,#N/A,llama,animal,cross_subtype
towel,Noun,fishhook,Noun,within_subtype
